Item,Description,Link,Quantity,Unit Price,Subtotal,Remarks,total
CRCW040239K0FKED,39k resistor,https://www.mouser.com/ProductDetail/Vishay/CRCW040239K0FKED?qs=sGAEpiMZZMvdGkrng054txEw7b1YnvGuEn4Q9wL6tXk%3D,1,$0.10,$0.10,,
CRCW040275K0FKED,75k resistor,https://www.mouser.com/ProductDetail/Vishay/CRCW040275K0FKED?qs=sGAEpiMZZMvdGkrng054txEw7b1YnvGuI6hvjmzti8Y%3D,1,$0.10,$0.10,,
CRCW0402100KFKEDC,100k resistor,https://www.mouser.com/ProductDetail/Vishay/CRCW0402100KFKEDC?qs=sGAEpiMZZMvdGkrng054t0DrEhLhGh8gGeXUWSzJisdRQfz79oUe7A%3D%3D,10,$0.02,$0.15,Only need 4,
LQM18PN2R2MGHD,2.2uH 0603 inductor,https://www.mouser.com/ProductDetail/Murata-Electronics/LQM18PN2R2MGHD?qs=jHkklCh7amjVfWhcJgCRwA%3D%3D,1,$0.20,$0.20,,
LQG15WH3N9B02D,3.9nH 0402 inductor,https://www.mouser.com/ProductDetail/Murata-Electronics/LQG15WH3N9B02D?qs=d0WKAl%252BL4KbQwH8c2ZZRzQ%3D%3D,1,$0.19,$0.19,,
LQG15WZ4N7B02D,4.7nH 0402 inductor,https://www.mouser.com/ProductDetail/Murata-Electronics/LQG15WZ4N7B02D?qs=d0WKAl%252BL4KZdmcfZ11LVwg%3D%3D,1,$0.17,$0.17,,
LQG15WZ7N5H02D,7.5nH 0402 inductor,https://www.mouser.com/ProductDetail/Murata-Electronics/LQG15WZ7N5H02D?qs=qkDYIeTQ%252BEnIAjJ%252B%2FhhVqg%3D%3D,1,$0.10,$0.10,,
LQW15AN12NJ00D,12nH 0402 inductor,https://www.mouser.com/ProductDetail/Murata-Electronics/LQW15AN12NJ00D?qs=iw6lWa%2F%2FJPMQRYLbv%252BB7LA%3D%3D,1,$0.10,$0.10,,
LQW15AN22NG00D,22nH 0402 inductor,https://www.mouser.com/ProductDetail/Murata-Electronics/LQW15AN22NG00D?qs=L0gQqYTeSd%2F0iBJVNyw3oQ%3D%3D,1,$0.11,$0.11,,
LQG15WZ24NH02D,24nH 0402 inductor,https://www.mouser.com/ProductDetail/Murata-Electronics/LQP03HQ24NH02D?qs=B6kkDfuK7%2FB%2F2H9dFQnJ3g%3D%3D,1,$0.10,$0.10,,
USB4085-GF-A,usb c connector,https://www.mouser.com/ProductDetail/GCT/USB4085-GF-A?qs=KUoIvG%2F9Ilba1bQOahfWjw%3D%3D,2,$0.88,$1.76,,
STPS0520Z,schottky diode,https://www.mouser.com/ProductDetail/STMicroelectronics/STPS0520Z?qs=1tTY8DFIKACOdOblhuhK%252BA%3D%3D,1,$0.13,$0.13,prevents backpowering usb,
